pile_number,pile_diameter,pile_type,ph_elev,pt_elev,northing_coord_y,easting_coord_x,limestone_thickness,sounding_beg_limestone
1,1.20,BP1,54.55,27.55,"2,057.607","7,623.010",12,27
2,1.20,BP1,54.55,35.55,"2,054.639","7,622.551",24,19
3,1.20,BP1,54.55,33.55,"2,051.677","7,622.093",18,21
4,1.20,BP1,54.55,54.55,"2,046.884","7,621.351",,
5,1.20,BP1,54.55,54.55,"2,043.922","7,620.893",,
6,1.20,BP1,54.55,54.55,"2,040.954","7,620.434",,
7,1.20,BP3,54.35,54.35,"2,058.231","7,627.906",,
8,1.00,BP5,54.35,54.35,"2,055.414","7,627.470",,
9,1.00,BP5,54.35,54.35,"2,052.942","7,627.087",,
10,1.20,BP3,54.35,54.35,"2,050.469","7,626.705",,
11,1.20, BP2,54.55,54.55,"2,045.930","7,627.519",,
12,1.20, BP2,54.55,54.55,"2,042.968","7,627.061",,
13,1.20, BP2,54.55,54.55,"2,040.000","7,626.602",,
14,1.20,BP3,54.35,54.35,"2,050.011","7,629.667",,
15,1.00,BP5,54.35,54.35,"2,052.471","7,630.047",,
16,1.00,BP5,54.35,54.35,"2,054.943","7,630.429",,
17,1.20,BP3,54.35,33.35,"2,057.773","7,630.867",32,21
18,1.20,BP3,52.35,52.35,"2,049.552","7,632.634",,
19,1.00,BP5,54.35,54.35,"2,052.012","7,633.015",,
20,1.00,BP5,54.35,54.35,"2,054.484","7,633.397",,
21,1.20,BP3,54.35,54.35,"2,057.314","7,633.835",,
22,1.20,BP2,54.55,54.55,"2,039.022","7,632.927",,
23,1.20,BP2,54.55,33.55,"2,041.990","7,633.386",24,21
24,1.20,BP2,54.55,54.55,"2,044.951","7,633.844",,
25,1.20,BP4,52.35,52.35,"2,049.094","7,635.596",,
26,1.00,BP5,54.35,24.35,"2,051.554","7,635.976",26,30
27,1.00,BP5,54.35,35.35,"2,054.026","7,636.359",30,19
28,1.20,BP4,54.35,29.35,"2,056.856","7,636.797",20,25
29,1.20,BP4,54.35,54.35,"2,048.635","7,638.564",,
30,1.00,BP5,54.35,54.35,"2,051.095","7,638.944",,
31,1.00,BP5,54.35,39.35,"2,053.567","7,639.327",28,15
32,1.20,BP4,54.35,54.35,"2,056.397","7,639.764",,
33,1.20,BP2,54.55,54.55,"2,038.043","7,639.251",,
34,1.20,BP2,54.55,54.55,"2,041.011","7,639.710",,
35,1.20,BP2,54.55,54.55,"2,043.973","7,640.168",,
36,1.20,BP4,54.35,54.35,"2,048.177","7,641.525",,
37,1.00,BP5,54.35,17.35,"2,050.636","7,641.906",10,37
38,1.00,BP5,54.35,54.35,"2,053.109","7,642.288",,
39,1.20,BP4,54.35,54.35,"2,055.938","7,642.726",,
40,1.00,BP5,54.35,19.35,"2,047.482","7,644.148",10,35
41,1.20,BP7,54.35,43.35,"2,037.065","7,645.576",28,11
42,1.20,BP7,54.35,27.35,"2,040.033","7,646.035",12,27
43,1.20,BP7,54.35,54.35,"2,043.791","7,646.617",,
47,1.00,BP7,54.35,27.35,"2,036.576","7,648.738",20,27
48,1.00,BP7,54.35,23.35,"2,043.302","7,649.779",26,31
53,1.20,BP9,59.70,42.70,"2,036.087","7,651.901",24,17
54,1.20,BP10,59.70,35.70,"2,039.055","7,652.360",14,24
55,1.20,BP9,59.70,59.70,"2,042.813","7,652.941",,
60,1.00,BP8,59.70,36.70,"2,035.629","7,654.862",12,23
61,1.00,BP9,59.70,46.70,"2,038.589","7,655.372",26,13
67,1.00,BP8,59.70,34.70,"2,035.170","7,657.830",12,25
68,1.00,BP9,59.70,36.70,"2,038.137","7,658.289",12,23
74,1.00,BP9,66.30,47.30,"2,034.307","7,661.539",12,19
75,1.00,BP10,66.30,41.30,"2,037.268","7,661.997",30,25
81,1.00,BP9,66.30,41.30,"2,030.881","7,664.041",6,25
82,1.00,BP9,66.30,51.30,"2,033.849","7,664.500",16,15
90,1.00,BP9,66.30,35.30,"2,030.345","7,667.505",10,31
91,1.00,BP9,66.30,41.30,"2,033.313","7,667.964",12,25