pile_number,pile_diameter,pile_type,ph_elev,pt_elev,northing_coord_y,easting_coord_x,limestone_thickness,sounding_beg_limestone,phase,,,,
1,1.20,BP1,54.55,27.55,"2,057.6070","7,623.0100",12,27,Phase 1,,,,Pha
2,1.20,BP1,54.55,35.55,"2,054.6390","7,622.5510",24,19,Phase 1,,,,Pha
3,1.20,BP1,54.55,33.55,"2,051.6770","7,622.0930",18,21,Phase 1,,,,Pha
4,1.20,BP1,54.55,54.55,"2,046.8840","7,621.3510",,,Phase 1,,,,Pha
5,1.20,BP1,54.55,54.55,"2,043.9220","7,620.8930",,,Phase 1,,,,Pha
6,1.20,BP1,54.55,54.55,"2,040.9540","7,620.4340",,,Phase 1,,,,Pha
7,1.20,BP3,54.35,54.35,"2,058.2310","7,627.9060",,,Phase 1,,,,Pha
8,1.00,BP5,54.35,54.35,"2,055.4140","7,627.4700",,,Phase 1,,,,Pha
9,1.00,BP5,54.35,54.35,"2,052.9420","7,627.0870",,,Phase 1,,,,Pha
10,1.20,BP3,54.35,54.35,"2,050.4690","7,626.7050",,,Phase 1,,,,Pha
11,1.20, BP2,54.55,54.55,"2,045.9300","7,627.5190",,,Phase 1,,,,Pha
12,1.20, BP2,54.55,54.55,"2,042.9680","7,627.0610",,,Phase 1,,,,Pha
13,1.20, BP2,54.55,54.55,"2,040.0000","7,626.6020",,,Phase 1,,,,Pha
14,1.20,BP3,54.35,54.35,"2,050.0110","7,629.6670",,,Phase 1,,,,Pha
15,1.00,BP5,54.35,54.35,"2,052.4710","7,630.0470",,,Phase 1,,,,Pha
16,1.00,BP5,54.35,54.35,"2,054.9430","7,630.4290",,,Phase 1,,,,Pha
17,1.20,BP3,54.35,33.35,"2,057.7730","7,630.8670",32,21,Phase 1,,,,Pha
18,1.20,BP3,52.35,52.35,"2,049.5520","7,632.6340",,,Phase 1,,,,Pha
19,1.00,BP5,54.35,54.35,"2,052.0120","7,633.0150",,,Phase 1,,,,Pha
20,1.00,BP5,54.35,54.35,"2,054.4840","7,633.3970",,,Phase 1,,,,Pha
21,1.20,BP3,54.35,54.35,"2,057.3140","7,633.8350",,,Phase 1,,,,Pha
22,1.20,BP2,54.55,54.55,"2,039.0220","7,632.9270",,,Phase 1,,,,Pha
23,1.20,BP2,54.55,33.55,"2,041.9900","7,633.3860",24,21,Phase 1,,,,Pha
24,1.20,BP2,54.55,54.55,"2,044.9510","7,633.8440",,,Phase 1,,,,Pha
25,1.20,BP4,52.35,52.35,"2,049.0940","7,635.5960",,,Phase 1,,,,Pha
26,1.00,BP5,54.35,24.35,"2,051.5540","7,635.9760",26,30,Phase 1,,,,Pha
27,1.00,BP5,54.35,35.35,"2,054.0260","7,636.3590",30,19,Phase 1,,,,Pha
28,1.20,BP4,54.35,29.35,"2,056.8560","7,636.7970",20,25,Phase 1,,,,Pha
29,1.20,BP4,54.35,54.35,"2,048.6350","7,638.5640",,,Phase 1,,,,Pha
30,1.00,BP5,54.35,54.35,"2,051.0950","7,638.9440",,,Phase 1,,,,Pha
31,1.00,BP5,54.35,39.35,"2,053.5670","7,639.3270",28,15,Phase 1,,,,Pha
32,1.20,BP4,54.35,54.35,"2,056.3970","7,639.7640",,,Phase 1,,,,Pha
33,1.20,BP2,54.55,54.55,"2,038.0430","7,639.2510",,,Phase 1,,,,Pha
34,1.20,BP2,54.55,54.55,"2,041.0110","7,639.7100",,,Phase 1,,,,Pha
35,1.20,BP2,54.55,54.55,"2,043.9730","7,640.1680",,,Phase 1,,,,Pha
36,1.20,BP4,54.35,54.35,"2,048.1770","7,641.5250",,,Phase 1,,,,Pha
37,1.00,BP5,54.35,17.35,"2,050.6360","7,641.9060",10,37,Phase 1,,,,Pha
38,1.00,BP5,54.35,54.35,"2,053.1090","7,642.2880",,,Phase 1,,,,Pha
39,1.20,BP4,54.35,54.35,"2,055.9380","7,642.7260",,,Phase 1,,,,Pha
40,1.00,BP5,54.35,19.35,"2,047.4820","7,644.1480",10,35,Phase 1,,,,Pha
41,1.20,BP7,54.35,43.35,"2,037.0650","7,645.5760",28,11,Phase 1,,,,Pha
42,1.20,BP7,54.35,27.35,"2,040.0330","7,646.0350",12,27,Phase 1,,,,Pha
43,1.20,BP7,54.35,54.35,"2,043.7910","7,646.6170",,,Phase 1,,,,Pha
44,1.20,BP5,59.70,59.70,"2,046.7970","7,647.0810",,,Phase 3,,,,Pha
45,1.00,BP5,59.70,59.70,"2,050.2610","7,647.6170",,,Phase 3,,,,Pha
46,1.20,BP7,59.70,59.70,"2,053.7180","7,648.1520",,,Phase 3,,,,Pha
47,1.00,BP7,54.35,27.35,"2,036.5760","7,648.7380",20,27,Phase 1,,,,Pha
48,1.00,BP7,54.35,23.35,"2,043.3020","7,649.7790",26,31,Phase 1,,,,Pha
49,1.20,BP8,59.70,59.70,"2,046.5810","7,650.8900",,,Phase 3,,,,Pha
50,1.00,BP9,59.70,59.70,"2,050.0380","7,651.4250",,,Phase 3,,,,Pha
51,1.00,BP8,59.70,59.70,"2,053.4950","7,651.9600",,,Phase 3,,,,Pha
52,1.00,BP9,59.70,59.70,"2,056.4630","7,652.4190",,,Phase 3,,,,Pha
53,1.20,BP9,59.70,42.70,"2,036.0870","7,651.9010",24,17,Phase 1,,,,Pha
54,1.20,BP10,59.70,35.70,"2,039.0550","7,652.3600",14,24,Phase 1,,,,Pha
55,1.20,BP9,59.70,59.70,"2,042.8130","7,652.9410",,,Phase 1,,,,Pha
56,1.20,BP9,59.70,59.70,"2,046.1210","7,653.8580",,,Phase 3,,,,Pha
57,1.00,BP9,59.70,59.70,"2,049.5790","7,654.3930",,,Phase 3,,,,Pha
58,1.00,BP9,59.70,59.70,"2,053.0360","7,654.9270",,,Phase 3,,,,Pha
59,1.00,BP5,59.70,59.70,"2,056.0040","7,655.3860",,,Phase 3,,,,Pha
60,1.00,BP8,59.70,36.70,"2,035.6290","7,654.8620",12,23,Phase 1,,,,Pha
61,1.00,BP9,59.70,46.70,"2,038.5890","7,655.3720",26,13,Phase 1,,,,Pha
62,1.00,BP9,59.70,59.70,"2,042.3550","7,655.9030",,,Phase 3,,,,Pha
63,1.20,BP4,59.70,59.70,"2,045.6630","7,656.8190",,,Phase 3,,,,Pha
64,1.00,BP5,59.70,59.70,"2,049.1210","7,657.3540",,,Phase 3,,,,Pha
65,1.00,BP5,59.70,59.70,"2,052.5780","7,657.8890",,,Phase 3,,,,Pha
66,1.20,BP4,59.70,59.70,"2,055.5460","7,658.3480",,,Phase 3,,,,Pha
67,1.00,BP8,59.70,34.70,"2,035.1700","7,657.8300",12,25,Phase 1,,,,Pha
68,1.00,BP9,59.70,36.70,"2,038.1370","7,658.2890",12,23,Phase 1,,,,Pha
69,1.00,BP9,59.70,59.70,"2,041.8960","7,658.8710",,,Phase 3,,,,Pha
70,1.20,BP3,59.70,59.70,"2,044.8150","7,659.7270",,,Phase 3,,,,Pha
71,1.20,BP4,59.70,59.70,"2,048.0970","7,660.2350",,,Phase 3,,,,Pha
72,1.20,BP4,59.70,59.70,"2,052.1190","7,660.8570",,,Phase 3,,,,Pha
73,1.00,BP9,59.70,59.70,"2,055.0870","7,661.3160",,,Phase 3,,,,Pha
74,1.00,BP9,66.30,47.30,"2,034.3070","7,661.5390",12,19,Phase 1,,,,Pha
75,1.00,BP10,66.30,41.30,"2,037.2680","7,661.9970",30,25,Phase 1,,,,Pha
76,1.00,BP10,66.30,66.30,"2,040.2360","7,662.4560",,,Phase 3,,,,Pha
77,1.00,BP10,59.70,59.70,"2,046.0150","7,663.3500",,,Phase 3,,,,Pha
78,1.00,BP10,59.70,59.70,"2,048.9830","7,663.8090",,,Phase 3,,,,Pha
79,1.00,BP8,59.70,59.70,"2,051.9450","7,664.2670",,,Phase 3,,,,Pha
80,1.00,BP9,59.70,59.70,"2,054.9130","7,664.7260",,,Phase 3,,,,Pha
81,1.00,BP9,66.30,41.30,"2,030.8810","7,664.0410",6,25,Phase 1,,,,Pha
82,1.00,BP9,66.30,51.30,"2,033.8490","7,664.5000",16,15,Phase 1,,,,Pha
83,1.00,BP10,66.30,66.30,"2,036.8100","7,664.9590",,,Phase 3,,,,Pha
84,1.00,BP10,66.30,66.30,"2,039.7790","7,665.4110",,,Phase 3,,,,Pha
85,1.00,BP10,59.70,59.70,"2,042.9120","7,664.3860",,,Phase 3,,,,Pha
86,1.00,BP10,69.75,69.75,"2,045.5570","7,666.3120",,,Phase 3,,,,Pha
87,1.00,BP10,69.75,69.75,"2,048.5250","7,666.7710",,,Phase 3,,,,Pha
88,1.00,BP8,69.75,69.75,"2,051.4870","7,667.2290",,,Phase 3,,,,Pha
89,1.00,BP9,69.75,69.75,"2,054.4540","7,667.6880",,,Phase 3,,,,Pha
90,1.00,BP9,66.30,35.30,"2,030.3450","7,667.5050",10,31,Phase 1,,,,Pha
91,1.00,BP9,66.30,41.30,"2,033.3130","7,667.9640",12,25,Phase 1,,,,Pha
92,1.00,BP10,66.30,66.30,"2,036.2750","7,668.4220",,,Phase 3,,,,Pha
93,1.00,BP10,66.30,66.30,"2,039.2420","7,668.8810",,,Phase 3,,,,Pha
94,1.00,BP10,66.30,66.30,"2,042.4150","7,667.5990",,,Phase 3,,,,Pha
95,1.00,BP10,69.75,69.75,"2,045.0210","7,669.7750",,,Phase 3,,,,Pha
96,1.00,BP10,69.75,69.75,"2,047.9890","7,670.2340",,,Phase 3,,,,Pha
97,1.00,BP8,69.75,69.75,"2,050.9510","7,670.6920",,,Phase 3,,,,Pha
98,1.00,BP8,69.75,69.75,"2,032.8550","7,670.9260",,,Phase 3,,,,Pha
99,1.00,BP8,69.75,69.75,"2,035.8160","7,671.3840",,,Phase 3,,,,Pha
100,1.00,BP8,69.75,69.75,"2,038.7840","7,671.8430",,,Phase 3,,,,Pha
101,1.00,BP8,69.75,69.75,"2,041.4600","7,673.7730",,,Phase 3,,,,Pha
102,1.00,BP8,69.75,69.75,"2,044.5630","7,672.7370",,,Phase 3,,,,Pha
103,1.00,BP8,69.75,69.75,"2,047.5310","7,673.1960",,,Phase 3,,,,Pha
104,1.20,BP11,69.75,69.75,"2,050.4930","7,673.6540",,,Phase 3,,,,Pha
105,1.00,BP9,69.75,69.75,"2,032.3960","7,673.8940",,,Phase 3,,,,Pha
106,1.00,BP9,69.75,69.75,"2,035.3570","7,674.3520",,,Phase 3,,,,Pha
107,1.00,BP9,69.75,69.75,"2,038.3250","7,674.8110",,,Phase 3,,,,Pha
108,1.00,BP9,69.75,69.75,"2,040.9630","7,676.9860",,,Phase 3,,,,Pha
109,1.00,BP9,75.50,75.50,"2,044.1040","7,675.7050",,,Phase 2,,,,Pha
110,1.20,BP7,75.50,75.50,"2,047.0720","7,676.1640",,,Phase 2,,,,Pha
111,1.20,BP11,75.50,75.50,"2,050.0340","7,676.6220",,,Phase 2,,,,Pha
112,1.00,BP9,69.75,69.75,"2,031.8610","7,677.3510",,,Phase 3,,,,Pha
113,1.00,BP9,69.75,69.75,"2,034.8230","7,677.8090",,,Phase 3,,,,Pha
114,1.00,BP9,69.75,69.75,"2,037.7900","7,678.2680",,,Phase 3,,,,Pha
115,1.00,BP8,69.75,69.75,"2,040.4540","7,680.1960",,,Phase 3,,,,Pha
116,1.00,BP9,75.50,75.50,"2,043.5690","7,679.1620",,,Phase 2,,,,Pha
117,1.20,BP7,75.50,75.50,"2,046.5370","7,679.6210",,,Phase 2,,,,Pha
118,1.20,BP11,75.50,75.50,"2,049.4990","7,680.0790",,,Phase 2,,,,Pha
119,1.00,BP8,69.75,69.75,"2,031.4030","7,680.3120",,,Phase 3,,,,Pha
120,1.00,BP8,69.75,69.75,"2,034.3640","7,680.7710",,,Phase 3,,,,Pha
121,1.00,BP8,69.75,69.75,"2,037.3320","7,681.2300",,,Phase 3,,,,Pha
122,1.20,BP11,75.50,75.50,"2,043.1110","7,682.1240",,,Phase 2,,,,Pha
123,1.20,BP11,75.50,75.50,"2,046.0790","7,682.5830",,,Phase 2,,,,Pha
124,1.20,BP11,75.50,75.50,"2,049.0410","7,683.0410",,,Phase 2,,,,Pha